integrator,problem,dt,mean_time,std_time,rms_error,max_error,position_rms,velocity_rms,energy_drift,max_energy_drift,n_steps,n_evaluations
RK4,Simple Harmonic Oscillator,0.02,0.04163158999872394,0.0003242809473037285,7.69844097285522e-08,1.3333004006985934e-07,5.4792205109700065e-08,5.4077847594649704e-08,4.444216106236354e-09,2.222108053118177e-09,5000,20000
RK4,Simple Harmonic Oscillator,0.01,0.08294940000050702,0.00028838253845772514,4.814005078678712e-09,8.347567141168158e-09,3.426245900170965e-09,3.38163923698346e-09,1.3889578376335976e-10,6.944789188167988e-11,10000,40000
RK4,Simple Harmonic Oscillator,0.005,0.1656975599937141,0.000365874850616197,3.009418015122392e-10,5.023699227556262e-10,2.140872701787448e-10,2.1150084785845445e-10,4.3507419889010635e-12,2.1753709944505317e-12,20000,80000
RK4,Simple Harmonic Oscillator,0.002,0.4152542099938728,0.0017042037950255693,1.8876935509332073e-11,4.0782603640994726e-11,1.3471962370777496e-11,1.3222893938311588e-11,4.3520742565306136e-14,2.3925306180672123e-14,50000,200000
RK4,Simple Harmonic Oscillator,0.001,0.8312895699928049,0.002698918849652388,3.837775216863364e-11,1.1426729170383059e-10,2.7655999386425445e-11,2.660822353061361e-11,9.103828801926284e-15,1.5765166949677223e-14,100000,400000
RK4,Simple Harmonic Oscillator,0.0005,1.6646985199884512,0.004904142348039708,1.344163680224532e-10,2.955012521781553e-10,9.603367922731206e-11,9.404941491797445e-11,3.952393967665557e-14,2.120525977034049e-14,200000,800000
RK4,Simple Harmonic Oscillator,0.0001,8.310516749997623,0.01601142712987616,1.0314556282536462e-09,2.196133159898369e-09,7.364688372693457e-10,7.221595147799839e-10,1.199040866595169e-14,1.965094753586527e-14,1000000,4000000
RK45 (Adaptive),Simple Harmonic Oscillator,0.5,0.04759834999567829,0.0003963476951572856,1.3865821314878677e-07,2.404421779964443e-07,9.734955521819208e-08,9.873785582254938e-08,4.799469430771808e-07,2.399734715385904e-07,1408,9102
RK45 (Adaptive),Simple Harmonic Oscillator,0.2,0.047240480006439614,0.00017971281659250575,1.3865820975668935e-07,2.4044217296668984e-07,9.734955303653669e-08,9.873785320998524e-08,4.799469439653592e-07,2.399734719826796e-07,1408,9096
RK45 (Adaptive),Simple Harmonic Oscillator,0.1,0.04733116999850608,0.000140155809614789,1.386582074588441e-07,2.4044216893539e-07,9.73495513788187e-08,9.87378516175159e-08,4.799469450755822e-07,2.399734725377911e-07,1408,9096
RK45 (Adaptive),Simple Harmonic Oscillator,0.05,0.047627829993143675,0.0007314200357593585,1.3865821314878677e-07,2.404421779964443e-07,9.734955521819208e-08,9.873785582254938e-08,4.799469430771808e-07,2.399734715385904e-07,1408,9096
RK45 (Adaptive),Simple Harmonic Oscillator,0.02,0.04731926000094973,0.00031172845332268234,1.3859968795772947e-07,2.4041560562077136e-07,9.728831355350317e-08,9.871604503775074e-08,4.798938442185374e-07,2.399469221092687e-07,1409,9108
RK45 (Adaptive),Simple Harmonic Oscillator,0.01,0.04724748999578878,8.717867144879859e-05,1.3860194430220007e-07,2.404230733393263e-07,9.728562347656474e-08,9.87218639872964e-08,4.799087720552819e-07,2.3995438602764096e-07,1409,9102
RK45 (Adaptive),Simple Harmonic Oscillator,0.005,0.04731386000057682,0.00013647837794533897,1.3864896161611666e-07,2.405278600450718e-07,9.73267483961175e-08,9.874734732571923e-08,4.801178379310045e-07,2.4005891896550224e-07,1410,9120
RK45 (Adaptive),Simple Harmonic Oscillator,0.002,0.047366840014001356,7.802909999294746e-05,1.3856171547098096e-07,2.40417463589457e-07,9.726773204938754e-08,9.868301422347029e-08,4.798975916653347e-07,2.3994879583266737e-07,1410,9108
